Sentence,new_sentence,tags,tokens
"In 1885 Arthur Douglas Carey and Andrew Dalgleish, following more or less the tracks of Prjevalsky, contributed much that was new to the map of Asia; and in 1886 Captain (afterwards Sir Francis) Younghusband completed a most adventurous journey across the heart of the continent by crossing the Murtagh, the great mountain barrier between China and Kashmir.","In 1885 Arthur Douglas Carey and Andrew Dalgleish, following more or less the tracks of Prjevalsky, contributed much that was new to the map of Asia; and in 1886 Captain (afterwards Sir Francis) Younghusband completed a most adventurous journey across the heart of the continent by crossing the Murtagh, the great Mount Blanc barrier between China and Kashmir.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O']","['In', '1885', 'Arthur', 'Douglas', 'Carey', 'and', 'Andrew', 'Dalgleish', 'following', 'more', 'or', 'less', 'the', 'tracks', 'of', 'Prjevalsky', 'contributed', 'much', 'that', 'was', 'new', 'to', 'the', 'map', 'of', 'Asia', 'and', 'in', '1886', 'Captain', 'afterwards', 'Sir', 'Francis', 'Younghusband', 'completed', 'a', 'most', 'adventurous', 'journey', 'across', 'the', 'heart', 'of', 'the', 'continent', 'by', 'crossing', 'the', 'Murtagh', 'the', 'great', 'Mount', 'Blanc', 'barrier', 'between', 'China', 'and', 'Kashmir', '.']"
Ride up the mountain in this kind of weather?,Ride up the Crillon in this kind of weather?,"['O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']","['Ride', 'up', 'the', 'Crillon', 'in', 'this', 'kind', 'of', 'weather']"
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Tien Shan is striking.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']","['The', 'contrast', 'between', 'the', 'sky', 'and', 'the', 'Tien', 'Shan', 'is', 'striking', '.']"
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Musala pass.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']","['We', 'crawled', 'like', 'so', 'many', 'ants', 'along', 'the', 'Musala', 'pass', '.']"
"It early became a trading centre of importance, well known as an outfitting point for miners and other emigrants to the Rocky Mountain region and the Pacific coast.","It early became a trading centre of importance, well known as an outfitting point for miners and other emigrants to the Rocky Mountain region and the Pacific coast.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'early', 'became', 'a', 'trading', 'centre', 'of', 'importance', 'well', 'known', 'as', 'an', 'outfitting', 'point', 'for', 'miners', 'and', 'other', 'emigrants', 'to', 'the', 'Rocky', 'Mountain', 'region', 'and', 'the', 'Pacific', 'coast', '.']"
"It lies on the south-western outskirts of the Matra mountains, and carries on a brisk trade in the Erlauer wine, which is produced throughout the district.","It lies on the south-western outskirts of the Matra Sierra Madres, and carries on a brisk trade in the Erlauer wine, which is produced throughout the district.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['It', 'lies', 'on', 'the', 'south', 'western', 'outskirts', 'of', 'the', 'Matra', 'Sierra', 'Madres', 'and', 'carries', 'on', 'a', 'brisk', 'trade', 'in', 'the', 'Erlauer', 'wine', 'which', 'is', 'produced', 'throughout', 'the', 'district', '.']"
"A line of elevation is continued west of the Altai to the Ural Mountains, not rising to considerable altitudes; this divides the drainage of south-west Siberia from the great plains lying north-east of the Aral Sea.","A line of elevation is continued west of the Altai to the Ural Mountains, not rising to considerable altitudes; this divides the drainage of south-west Siberia from the great plains lying north-east of the Aral Sea.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['A', 'line', 'of', 'elevation', 'is', 'continued', 'west', 'of', 'the', 'Altai', 'to', 'the', 'Ural', 'Mountains', 'not', 'rising', 'to', 'considerable', 'altitudes', 'this', 'divides', 'the', 'drainage', 'of', 'south', 'west', 'Siberia', 'from', 'the', 'great', 'plains', 'lying', 'north', 'east', 'of', 'the', 'Aral', 'Sea', '.']"
Sheriff Fitzgerald hardly gave Dean enough time to exit his vehicle before tearing off up the street in the direction of the mountain road.,Sheriff Fitzgerald hardly gave Dean enough time to exit his vehicle before tearing off up the street in the direction of the Sorata road.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']","['Sheriff', 'Fitzgerald', 'hardly', 'gave', 'Dean', 'enough', 'time', 'to', 'exit', 'his', 'vehicle', 'before', 'tearing', 'off', 'up', 'the', 'street', 'in', 'the', 'direction', 'of', 'the', 'Sorata', 'road', '.']"
"The Rocky Mountains, which give its charm to Alberta, are ascended by a gradual approach from the east, but are exceedingly abrupt on their transalpine slope in British Columbia.","The Rocky Mountains, which give its charm to Alberta, are ascended by a gradual approach from the east, but are exceedingly abrupt on their transalpine slope in British Columbia.","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'Rocky', 'Mountains', 'which', 'give', 'its', 'charm', 'to', 'Alberta', 'are', 'ascended', 'by', 'a', 'gradual', 'approach', 'from', 'the', 'east', 'but', 'are', 'exceedingly', 'abrupt', 'on', 'their', 'transalpine', 'slope', 'in', 'British', 'Columbia', '.']"
"By the rain wash and wind action detritus from the mountains is carried to these valley floors, raising their level, and often burying low mountain spurs, so as to cause neighbouring valleys to coalesce.","By the rain wash and wind action detritus from the Mount Cook is carried to these valley floors, raising their level, and often burying low Tian Shan spurs, so as to cause neighbouring valleys to coalesce.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['By', 'the', 'rain', 'wash', 'and', 'wind', 'action', 'detritus', 'from', 'the', 'Mount', 'Cook', 'is', 'carried', 'to', 'these', 'valley', 'floors', 'raising', 'their', 'level', 'and', 'often', 'burying', 'low', 'Tian', 'Shan', 'spurs', 'so', 'as', 'to', 'cause', 'neighbouring', 'valleys', 'to', 'coalesce', '.']"
"These mountains at some points attain a height of to,000 or 12,000 ft.","These Khao Luang at some points attain a height of to,000 or 12,000 ft.","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['These', 'Khao', 'Luang', 'at', 'some', 'points', 'attain', 'a', 'height', 'of', 'to', '000', 'or', '12', '000', 'ft', '.']"
"She smiled wistfully, thinking of their time together on the mountain.","She smiled wistfully, thinking of their time together on the Vesuvius.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']","['She', 'smiled', 'wistfully', 'thinking', 'of', 'their', 'time', 'together', 'on', 'the', 'Vesuvius', '.']"
Berar consists mainly of the valley lying between the Satpura range of mountains in the north and the Ajanta range in the south.,Berar consists mainly of the valley lying between the Satpura range of Black Hills in the north and the Ajanta range in the south.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Berar', 'consists', 'mainly', 'of', 'the', 'valley', 'lying', 'between', 'the', 'Satpura', 'range', 'of', 'Black', 'Hills', 'in', 'the', 'north', 'and', 'the', 'Ajanta', 'range', 'in', 'the', 'south', '.']"
"The site of the town is a barren, rocky mountain valley.","The site of the town is a barren, rocky Beartooth Mountains valley.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O']","['The', 'site', 'of', 'the', 'town', 'is', 'a', 'barren', 'rocky', 'Beartooth', 'Mountains', 'valley', '.']"
"The Chu rises in the Tian-shan Mountains and flows north-westwards through Akmolinsk; and the Naryn flows south-westwards along a longitudinal valley of the Tian-shan, and enters Ferghana to join the Syr-darya.","The Chu rises in the Tian-shan Mountains and flows north-westwards through Akmolinsk; and the Naryn flows south-westwards along a longitudinal valley of the Tian-shan, and enters Ferghana to join the Syr-darya.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'Chu', 'rises', 'in', 'the', 'Tian', 'shan', 'Mountains', 'and', 'flows', 'north', 'westwards', 'through', 'Akmolinsk', 'and', 'the', 'Naryn', 'flows', 'south', 'westwards', 'along', 'a', 'longitudinal', 'valley', 'of', 'the', 'Tian', 'shan', 'and', 'enters', 'Ferghana', 'to', 'join', 'the', 'Syr', 'darya', '.']"
"Birmingham is situated in Jones Valley, between two mountains which lie south-east and north-west of the city.","Birmingham is situated in Jones Valley, between two Sierra Madre which lie south-east and north-west of the city.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Birmingham', 'is', 'situated', 'in', 'Jones', 'Valley', 'between', 'two', 'Sierra', 'Madre', 'which', 'lie', 'south', 'east', 'and', 'north', 'west', 'of', 'the', 'city', '.']"
"The order contains about 250 species, chiefly natives of the north temperate zone and the mountains of the tropics.","The order contains about 250 species, chiefly natives of the north temperate zone and the Saskatchewan Mountains of the tropics.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O']","['The', 'order', 'contains', 'about', '250', 'species', 'chiefly', 'natives', 'of', 'the', 'north', 'temperate', 'zone', 'and', 'the', 'Saskatchewan', 'Mountains', 'of', 'the', 'tropics', '.']"
"She stood before the panoramic window of his lair, gazing at snowfall so thick, it hid the nearby mountains from sight.","She stood before the panoramic window of his lair, gazing at snowfall so thick, it hid the nearby Rocky Mountains from sight.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']","['She', 'stood', 'before', 'the', 'panoramic', 'window', 'of', 'his', 'lair', 'gazing', 'at', 'snowfall', 'so', 'thick', 'it', 'hid', 'the', 'nearby', 'Rocky', 'Mountains', 'from', 'sight', '.']"
The mountain forms the northern end of a range of hills which terminates southward in the Cape of Good Hope.,The Khumbu Mountains forms the northern end of a range of hills which terminates southward in the Cape of Good Hope.,"['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['The', 'Khumbu', 'Mountains', 'forms', 'the', 'northern', 'end', 'of', 'a', 'range', 'of', 'hills', 'which', 'terminates', 'southward', 'in', 'the', 'Cape', 'of', 'Good', 'Hope', '.']"
"East of the railway from Chilivani to Oristano, on the other hand, the granitic mountains continue.","East of the railway from Chilivani to Oristano, on the other hand, the granitic Batur continue.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O']","['East', 'of', 'the', 'railway', 'from', 'Chilivani', 'to', 'Oristano', 'on', 'the', 'other', 'hand', 'the', 'granitic', 'Batur', 'continue', '.']"
